"12gr -- Palveluiden ulkomaankauppa alueittain ja palveluerittäin, vuosittain, 2013-2023"

"Alue","Vuosi","Tuonti, miljoonaa euroa S Palvelut","Tuonti, miljoonaa euroa SA Tuotannolliset palvelut","Tuonti, miljoonaa euroa SB Huolto- ja korjauspalvelut, muualla luokittelemattomat","Tuonti, miljoonaa euroa SC Kuljetus","Tuonti, miljoonaa euroa SC1 Meriliikenne","Tuonti, miljoonaa euroa SC2 Ilmaliikenne","Tuonti, miljoonaa euroa SC3 Muut liikennemuodot","Tuonti, miljoonaa euroa SC4 Posti- ja kuriiripalvelut","Tuonti, miljoonaa euroa SD Matkailu","Tuonti, miljoonaa euroa SE Rakentaminen","Tuonti, miljoonaa euroa SF Vakuutus- ja eläkepalvelut","Tuonti, miljoonaa euroa SG Rahoituspalvelut","Tuonti, miljoonaa euroa SG1 Rahoituspalvelut joista peritään maksu sekä muut rahoituspalvelut","Tuonti, miljoonaa euroa SG2 Välilliset rahoituspalvelut (FISIM)","Tuonti, miljoonaa euroa SH Henkisen omaisuuden käytöstä perityt maksut, muualle luokittelemattomat","Tuonti, miljoonaa euroa SH1 Franchise- ja tavaramerkkien lisensiointimaksut","Tuonti, miljoonaa euroa SH2 Tutkimus- ja kehittämistoiminnan tulosten käyttölisenssit","Tuonti, miljoonaa euroa SH3 Tietokoneohjelmien jäljentämiseen ja jakeluun liittyvät lisenssit","Tuonti, miljoonaa euroa SH4 Audiovisuaalisten ja niihin liittyvien tuotteiden jäljennys- ja/tai jakelulisenssi","Tuonti, miljoonaa euroa SH41 Audiovisuaalisten tuotteiden jäljennys- ja/tai jakelulisenssi","Tuonti, miljoonaa euroa SH42 Muiden tuotteiden jäljentämis- ja/tai jakelulisenssi","Tuonti, miljoonaa euroa SI Televiestintä-, tietotekniikka- ja tietopalvelut","Tuonti, miljoonaa euroa SI1 Televiestintäpalvelut","Tuonti, miljoonaa euroa SI2 Tietojenkäsittelypalvelut","Tuonti, miljoonaa euroa SI21 Tietokoneohjelmistot","Tuonti, miljoonaa euroa SI22 Muut tietojenkäsittelypalvelut","Tuonti, miljoonaa euroa SI3 Tietopalvelut","Tuonti, miljoonaa euroa SI31 Uutistoimistopalvelut","Tuonti, miljoonaa euroa SI32 Muut tietopalvelut","Tuonti, miljoonaa euroa SJ Muut liike-elämän palvelut","Tuonti, miljoonaa euroa SJ1 Tutkimus- ja kehityspalvelut","Tuonti, miljoonaa euroa SJ11 Järjestelmällinen työ osaamisen lisäämiseksi","Tuonti, miljoonaa euroa SJ111 Asiakkaan tilaamien ja muiden tutkimus- ja kehityspalvelujen tuottaminen","Tuonti, miljoonaa euroa SJ112 Tutkimukseen ja kehittämiseen perustuvien omistusoikeuksien myynti","Tuonti, miljoonaa euroa SJ12 Muut tutkimus- ja kehityspalvelut","Tuonti, miljoonaa euroa SJ2 Asiantuntijoiden ja liikehallinnon konsulttipalvelut","Tuonti, miljoonaa euroa SJ21 Lakiasiain-, laskentatoimen, liikkeenjohdon konsultointi- ja suhdetoimintapalvelut","Tuonti, miljoonaa euroa SJ211 Lakiasiainpalvelut","Tuonti, miljoonaa euroa SJ212 Laskentatoimen, tilintarkastus-, kirjanpito- ja veroneuvontapalvelut","Tuonti, miljoonaa euroa SJ213 Yritys- ja liikkeenjohdon konsultointi- ja suhdetoimintapalvelut","Tuonti, miljoonaa euroa SJ22 Mainonta, markkinatutkimus ja mielipidetutkimukset","Tuonti, miljoonaa euroa SJ3 Tekniset, kaupankäyntiin liittyvät ja muut liike-elämän palvelut","Tuonti, miljoonaa euroa SJ31 Arkkitehti-, insinööri-, tieteelliset ja muut tekniset palvelut","Tuonti, miljoonaa euroa SJ311 Arkkitehtipalvelut","Tuonti, miljoonaa euroa SJ312 Insinööripalvelut","Tuonti, miljoonaa euroa SJ313 Tieteelliset ja muut tekniset palvelut","Tuonti, miljoonaa euroa SJ32 Maatalouden, kaivostoiminnan ja muun paikalla tapahtuvan jalostuksen palvelut","Tuonti, miljoonaa euroa SJ321 Jätteiden käsittely ja puhdistuspalvelut, maatalouden ja kaivostoiminnan palvelut","Tuonti, miljoonaa euroa SJ33 Käyttöleasingpalvelut","Tuonti, miljoonaa euroa SJ34 Kaupankäyntiin liittyvät palvelut","Tuonti, miljoonaa euroa SJ35 Muualla luokittelemattomat muut liike-elämän palvelut","Tuonti, miljoonaa euroa SK Henkilökohtaiset, kulttuuri- ja virkistyspalvelut","Tuonti, miljoonaa euroa SK1 Audiovisuaaliset ja niihin liittyvät palvelut","Tuonti, miljoonaa euroa SK11 Audiovisuaaliset palvelut","Tuonti, miljoonaa euroa SK12 Taiteisiin liittyvät palvelut","Tuonti, miljoonaa euroa SK2 Muut henkilökohtaiset, kulttuuri- ja virkistyspalvelut","Tuonti, miljoonaa euroa SK21 Terveyspalvelut","Tuonti, miljoonaa euroa SK22 Koulutuspalvelut","Tuonti, miljoonaa euroa SK23 Kulttuuriperintö- ja virkistyspalvelut","Tuonti, miljoonaa euroa SK24 Muut henkilökohtaiset palvelut","Tuonti, miljoonaa euroa SL Julkisyhteisöjen tuottamat tavarat ja tarjoamat palvelut, muualle luokittelemattomat"
"Yhdysvallat (USA)","2013",1858,1,13,127,51,48,27,1,190,19,12,63,58,5,226,27,151,15,33,.,.,167,8,136,.,.,22,.,.,974,550,.,.,.,.,320,.,.,.,.,.,104,.,.,.,.,.,.,.,.,.,60,23,.,.,37,.,.,.,.,4
"Yhdysvallat (USA)","2014",2031,2,9,131,56,46,29,1,225,5,13,35,29,7,198,27,126,22,23,.,.,189,11,154,.,.,24,.,.,1141,509,.,.,.,.,515,.,.,.,.,.,117,.,.,.,.,.,.,.,.,.,78,39,.,.,39,.,.,.,.,4
"Yhdysvallat (USA)","2015",2102,2,32,216,116,59,40,1,258,12,12,39,34,5,146,32,77,19,18,.,.,222,14,185,.,.,23,.,.,1100,346,.,.,.,.,488,.,.,.,.,.,266,.,.,.,.,.,.,.,.,.,39,11,.,.,28,.,.,.,.,24
"Yhdysvallat (USA)","2016",1946,8,13,197,121,60,14,2,291,2,14,47,42,5,101,35,39,10,16,.,.,271,13,230,.,.,28,.,.,938,317,.,.,.,.,382,.,.,.,.,.,239,.,.,.,.,.,.,.,.,.,41,10,.,.,31,.,.,.,.,24
"Yhdysvallat (USA)","2017",1861,13,17,235,122,107,5,1,265,21,17,41,19,22,90,40,15,10,25,.,.,241,11,203,.,.,26,.,.,868,311,.,.,.,.,315,.,.,.,.,.,243,.,.,.,.,.,.,.,.,.,49,...,.,.,...,.,.,.,.,3
"Yhdysvallat (USA)","2018",2043,22,20,264,140,110,11,3,337,...,50,85,13,72,81,32,...,...,32,.,.,274,15,201,.,.,59,.,.,830,254,.,.,.,.,300,.,.,.,.,.,275,.,.,.,.,.,.,.,.,.,58,...,.,.,...,.,.,.,.,3
"Yhdysvallat (USA)","2019",2922,69,19,275,142,119,13,2,322,15,27,23,13,10,83,34,27,5,16,.,.,318,15,271,.,.,32,.,.,1700,979,.,.,.,.,361,.,.,.,.,.,360,.,.,.,.,.,.,.,.,.,69,35,.,.,33,.,.,.,.,3
"Yhdysvallat (USA)","2020",2698,48,20,195,136,45,10,3,85,9,40,31,11,20,171,118,33,7,12,.,.,484,20,433,.,.,30,.,.,1544,822,.,.,.,.,311,.,.,.,.,.,411,.,.,.,.,.,.,.,.,.,69,40,.,.,28,.,.,.,.,4
"Yhdysvallat (USA)","2021",2584,62,19,225,151,50,20,5,91,3,47,28,12,16,136,76,40,10,11,.,.,481,19,432,.,.,31,.,.,1419,649,.,.,.,.,414,.,.,.,.,.,356,.,.,.,.,.,.,.,.,.,69,34,.,.,35,.,.,.,.,4
"Yhdysvallat (USA)","2022",2841,70,27,453,267,132,45,10,249,2,42,42,19,23,95,46,29,9,11,.,.,500,18,449,.,.,34,.,.,1276,469,.,.,.,.,430,.,.,.,.,.,377,.,.,.,.,.,.,.,.,.,80,38,.,.,42,.,.,.,.,4
"Yhdysvallat (USA)","2023",3829,66,30,479,303,152,14,10,302,2,79,35,12,24,95,46,28,12,9,.,.,548,16,498,.,.,34,.,.,2113,1435,.,.,.,.,393,.,.,.,.,.,284,.,.,.,.,.,.,.,.,.,77,36,.,.,41,.,.,.,.,4
